employeeId,specialization,role,location,tLevel,lastUpdated
"I770144","ABAP Developer","Developer","Whitefield, Bangalore","T4","2026-03-04T09:10:41.480Z"
"I770145","Data Scientist","Data Scientist","Devanahalli Campuses, Bangalore","T2","2024-10-26T10:00:00.000Z"
"I770146","S/4HANA","Backend Developer","Whitefield, Bangalore","T3","2024-10-26T10:00:00.000Z"
"I770147","Procurement Specialist","Developer","Gurugram","T2","2024-10-25T10:30:00.000Z"
"I770148","BTP","Full Stack Developer","Pune","T3","2024-10-25T10:30:00.000Z"
"I770149","Test Engineer","QA Engineer","Whitefield, Bangalore","T2","2024-10-26T10:00:00.000Z"
"I770150","BTP","Developer","Whitefield, Bangalore","T3","2024-10-26T10:00:00.000Z"
"I770151","ABAP","Backend Developer","Devanahalli Campuses, Bangalore","T2","2024-10-26T10:00:00.000Z"
"I770152","SAP UI5","Frontend Developer","Whitefield, Bangalore","T2","2024-10-26T10:00:00.000Z"
"I770153","S/4HANA","Full Stack Developer","Gurugram","T3","2025-10-26T04:46:29.767Z"
"I770154","S/4HANA","Developer","Mumbai","T3","2024-10-26T10:00:00.000Z"
"I770155","Procurement Analyst","Data Scientist","Pune","T2","2024-10-26T10:00:00.000Z"
"I770156","Data Science","Solution Architect","Hyderabad","T4","2024-10-26T10:00:00.000Z"
"I770157","Ariba QA Engineer","QA Engineer","Mumbai","T2","2024-10-26T10:00:00.000Z"
"I770158","S/4HANA","Architect","Gurugram","T4","2024-10-26T10:00:00.000Z"
"I770159","S/4HANA","Full Stack Developer","Whitefield, Bangalore","T3","2024-10-26T10:00:00.000Z"
"I770160","BTP","Backend Developer","Devanahalli Campuses, Bangalore","T3","2024-10-26T10:00:00.000Z"
"I770161","BTP","Solution Architect","Pune","T4","2024-10-26T10:00:00.000Z"
"I770162","BTP UI5 Developer","Frontend Developer","Whitefield, Bangalore","T2","2024-10-26T10:00:00.000Z"
"I770163","S/4HANA","DevOps Engineer","Hyderabad","T3","2024-10-26T10:00:00.000Z"
"I770164","S/4HANA","Data Scientist","Mumbai","T3","2024-10-26T10:00:00.000Z"
"I770165","BTP","AI/ML Engineer","Gurugram","T4","2024-10-26T10:00:00.000Z"
"I770166","Data Science","Developer","Pune","T3","2024-10-26T10:00:00.000Z"
"I770167","SAC Consultant","Developer","Whitefield, Bangalore","T2","2024-10-26T10:00:00.000Z"
"I770168","Data Science","Backend Developer","Devanahalli Campuses, Bangalore","T3","2024-10-26T10:00:00.000Z"
"I753890","SAP BTP Developer","Data Scientist","Whitefield, Bangalore","T1","2026-03-04T09:13:10.000Z"
"I763266","Full Stack Developer","Developer","Whitefield, Bangalore","T1","2026-03-04T09:15:16.658Z"
"I755736","SAP BTP Developer","Developer","Whitefield, Bangalore","T1","2026-03-04T09:16:27.000Z"
"I769086","Full Stack Developer","Data Scientist","Whitefield, Bangalore","T1","2026-03-04T09:18:00.000Z"
"I346659","SAP Integration","Architect","Whitefield, Bangalore","T2","2026-03-04T09:19:31.000Z"
"I749085","SAPUI5 Developer","Developer","Whitefield, Bangalore","T1","2026-03-04T09:22:12.000Z"
"I763161","SAP HANA Developer","Developer","Whitefield, Bangalore","T1","2026-03-04T09:24:42.000Z"
"I750145","SAP HANA Developer","Developer","Whitefield, Bangalore","T1","2026-03-04T09:26:35.000Z"
"I755719","SAP HANA Developer","Developer","Whitefield, Bangalore","T1","2026-03-04T09:28:08.000Z"
"I773926","Full Stack Developer","Developer","Devanahalli Campuses, Bangalore","T1","2026-03-04T09:42:35.107Z"
"I774156","Full Stack Developer","Developer","Whitefield, Bangalore","T1","2026-03-04T09:45:02.342Z"
"I774157","Data Science","Solution Architect","Devanahalli Campuses, Bangalore","T3","2026-04-07T16:18:08.103Z"
"I774158","BTP","Solution Architect","Devanahalli Campuses, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774159","S/4HANA","Solution Architect","Pune","T4","2026-04-07T16:18:08.125Z"
"I774160","S/4HANA","Data Scientist","Hyderabad","T3","2026-04-07T16:18:08.125Z"
"I774161","BTP","Tech Lead","Mumbai","T3","2026-04-07T16:18:08.125Z"
"I774162","Data Science","Solution Architect","Mumbai","T4","2026-04-07T16:18:08.125Z"
"I774163","BTP","Full Stack Developer","Devanahalli Campuses, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774164","Data Science","Tech Lead","Pune","T3","2026-04-07T16:18:08.125Z"
"I774165","Data Science","Developer","Mumbai","T4","2026-04-07T16:18:08.125Z"
"I774166","Data Science","Senior Developer","Whitefield, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774167","BTP","Data Scientist","Whitefield, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774168","BTP","Solution Architect","Gurugram","T4","2026-04-07T16:18:08.125Z"
"I774169","Data Science","Senior Developer","Hyderabad","T3","2026-04-07T16:18:08.125Z"
"I774170","S/4HANA","Backend Developer","Whitefield, Bangalore","T3","2026-04-07T16:18:08.125Z"
"I774171","S/4HANA","Backend Developer","Gurugram","T4","2026-04-07T16:18:08.125Z"
"I780020","BTP","Principal Engineer","Pune","T5","2026-04-14T10:00:00.000Z"
"I780030","S/4HANA","Principal Engineer","Mumbai","T5","2026-04-14T10:00:00.000Z"
"I780042","BTP","Principal Architect","Bangalore","T5","2026-04-14T10:00:00.000Z"
"I780051","S/4HANA","Principal Engineer","Hyderabad","T5","2026-04-14T10:00:00.000Z"
"I780055","S/4HANA","Senior Architect","Mumbai","T5","2026-04-14T10:00:00.000Z"
"I780064","BTP","Principal Engineer","Mumbai","T5","2026-04-14T10:00:00.000Z"
"I780074","S/4HANA","Senior Architect","Delhi","T5","2026-04-14T10:00:00.000Z"
"I780078","BTP","Principal Architect","Pune","T5","2026-04-14T10:00:00.000Z"
"I780085","Data Science","Principal Engineer","Mumbai","T5","2026-04-14T10:00:00.000Z"
"I780095","Data Science","Senior Architect","Delhi","T5","2026-04-14T10:00:00.000Z"
"I780101","Data Science","Distinguished Engineer","Pune","T5","2026-04-14T10:00:00.000Z"
"I780110","S/4HANA","Principal Engineer","Pune","T5","2026-04-14T10:00:00.000Z"
"I780116","BTP","Distinguished Engineer","Pune","T5","2026-04-14T10:00:00.000Z"
"I780118","BTP","Senior Architect","Bangalore","T5","2026-04-14T10:00:00.000Z"
"I780131","S/4HANA","Principal Engineer","Bangalore","T5","2026-04-14T10:00:00.000Z"
"I780138","Data Science","Distinguished Engineer","Mumbai","T5","2026-04-14T10:00:00.000Z"
"I780141","BTP","Senior Architect","Bangalore","T5","2026-04-14T10:00:00.000Z"
