skillId,skillName,category,employeeId,proficiencyLevel,yearsExperience,certificationStatus
"5d962b3b-be00-4e70-9117-59bf71954245","SAPUI5","Frontend","I770144","Advanced","6","Certified"
"eee46453-c674-4491-a1aa-dfad236e17c7","SAPUI5","Frontend","I770145","Intermediate","4","In Progress"
"68bce6f2-4427-4915-a2db-903f5f8c866a","SAP HANA","Database","I770146","Advanced","8","Certified"
"5be17b4a-6032-4b24-bcb1-a0b9d7aa803f","SAP HANA","Database","I770144","Intermediate","3","Not Certified"
"68027978-7a16-4ca9-bb8f-3423861653bd","Data Warehouse","Analytics","I770145","Expert","10","Certified"
"cc99f209-30db-4272-a0b0-5a32253a9d5a","SAP Analytics Cloud (SAC)","Analytics","I770148","Advanced","7","Certified"
"e39bac6d-f1a4-44ad-abfd-6247080c289e","TypeScript","Frontend","I770145","Intermediate","4","Certified"
"aedd6967-0124-45b2-9ad8-aeb4982dba2a","SAP BTP (Business Technology Platform)","Cloud","I770148","Advanced","6","Certified"
"0c301f92-24b0-4d8c-9ae5-848ca40513d9","Selenium","Testing","I770149","Intermediate","5","Certified"
"f1e7ae8b-58ee-4a6c-9581-83e58ed30058","Java","Backend","I770144","Expert","5","In Progress"
"9691c03e-7df4-4f51-96c9-3518fbe67875","Python","Backend","I770144","Advanced","3","None"
"d9044315-8edb-451f-9f5a-aec037d55ffe","Java","Backend","I770151","Proficient","1","Certified"
"4741954f-4fff-4a1e-ad49-07ee6605386b","ABAP","Backend","I770151","Beginner","0","None"
"c1d58ce5-c973-4f9b-8767-b6fb5ed5e9e8","SAP CAP","FullStack","I770151","Intermediate","1","In Progress"
"f42b2bb6-6d2e-4971-ae4a-fa429024e44d","SAPUI5","Frontend","I770151","Intermediate","1","In Progress"
"6fcc2aa8-8aee-4efa-878f-52e8e23c41b7","Java","Backend","I770152","Intermediate","2","In Progress"
"2a68eab7-983d-4c2c-b0a5-67390306c840","SAP Ariba","Procurement","I770154","Advanced","5","Certified"
"18f9ff3b-c4ac-4e6d-9e28-ae236d1268a7","Ariba Sourcing","Procurement","I770154","Proficient","4","In Progress"
"163b00fb-6452-412d-a3f4-508c9de3d0f5","JavaScript","Frontend","I770154","Intermediate","3","Not Certified"
"80f3cc30-7712-4cf2-a069-4c7f7aad160f","SQL","Database","I770154","Advanced","5","Certified"
"30ae6a4c-142f-472c-9481-a72345cb50fb","Ariba Analytics","Procurement","I770155","Proficient","4","Certified"
"6fe54dfd-00ce-4783-8af0-ae87b912fad1","Power BI","Analytics","I770155","Expert","6","Certified"
"c4cc080a-23f5-4095-ace2-20a36dfc9a84","SAP Analytics Cloud (SAC)","Analytics","I770155","Advanced","3","In Progress"
"8cb994e6-acce-4082-9005-6d3621e2aa2a","Ariba Contracts","Procurement","I770155","Intermediate","2","Not Certified"
"908e9232-1473-4ad8-8919-d465e3936dc1","Ariba Integration","Procurement","I770156","Expert","6","Certified"
