caiaId,employeeId,taskName,startDate,endDate,hoursPerDay
CAIA_1730000002000_sample1,I770144,Technical Documentation,2025-10-16,2025-10-30,3
CAIA_1730000003000_sample2,I770144,Code Review & Quality Assurance,2025-10-21,2025-10-27,3
CAIA_1730000002009_I770151,I770151,Team Training & Mentoring,2025-10-20,2025-11-20,2
CAIA_1730000002010_I770152,I770152,System Maintenance,2025-10-15,2025-11-15,2
CAIA013,I753890,Data Analysis & Reporting,2026-03-05,2026-01-07,4
CAIA014,I763266,Code Refactoring,2026-03-05,2026-03-04,8
CAIA015,I755736,Research & Development,2026-03-05,2026-02-28,14
CAIA016,I769086,ML Model Training,2026-03-05,2026-02-28,8
CAIA017,I749085,UI/UX Enhancement,2026-03-05,2026-09-24,8
CAIA018,I750145,Knowledge Transfer,2026-03-05,2026-12-16,8
