"currentProjectId","employeeId","type","projectName","role","startDate","endDate","utilizationPercent","projectManager","assignmentStatus","assignedBy","isEvaluation","description","technology"
"36de2208-18fa-4c49-9ba0-bfe78f3fd436","I769086","Project","Mahindra","Developer","2026-01-30","2026-03-31","100","Puja K","Accepted","","false","","ABAP"
"2e846c9c-4aca-4012-8b05-34774178cf69","I763161","Project","Exxon Mobil","Developer","2025-05-01","2025-11-30","100","Shikha Chaturvedi","Accepted","","false","","SuccessFactors"
"b25363d7-6b15-42ee-ac75-846856df1de8","I763161","Project","Schneider - DSPC","Developer","2026-01-01","2026-11-30","100","Manish Kumar Sinha","Accepted","","false","","Data Science"
"e68ac54d-b7ad-48ee-9450-7b31bb5aec14","I755736","Project","Mahindra","Developer","2026-01-01","2026-08-11","100","LohitSurya","Accepted","","false","","Data Science"
"84c8c03a-c892-40a4-b236-5def6a5567f9","I749085","Project","Synapxe - IHiS","Developer","2025-09-01","2027-12-31","100","Kritesh Vasing","Accepted","","false","","SAPUI5"
"d00e6279-4b2d-49b6-a0aa-3e1a07c9cabb","I753890","Project","Modrena","Developer","2026-01-01","2026-04-30","100","Puja K","Accepted","","false","","Ariba"
"82c5fea2-4282-4964-b524-57700fe29e3e","I755719","Project","Exxon Mobil","Developer","2025-05-01","2025-11-30","100","Shikha Chaturvedi","Accepted","","false","","AI/ML"
"7fc49738-f537-499e-ab7a-2b409564b525","I755719","Project","Schneider - DSPC","Developer","2026-01-01","2026-11-30","100","Manish Kumar Sinha","Accepted","","false","","Fiori"
"516b0291-6aa8-4afb-94ce-3cb443222d6c","I763266","Project","Synapxe - IHiS","Developer","2022-07-01","2027-12-31","100","Kritesh Vasing","Accepted","","false","","SAPUI5"
"cde360c0-984f-478a-a3f8-8a6d2ed5618d","I770144","Project","Schneider - DSPC","Developer","2026-01-01","2026-11-30","100","Manish Kumar Sinha","Accepted","","false","","Fiori"
"5f8d2fb4-fdc6-486f-b1ff-eb002d3f2a26","I770144","Project","SkillSphere","Developer","2025-09-01","2026-04-30","75","Puja K","Accepted","","false","","SuccessFactors"
"25568449-367c-4695-9378-f8dfcb46aabf","I346659","Project","SET","Developer","2026-01-01","2026-04-23","100","Puja K","Accepted","","false","","ABAP"
"e516d841-1032-4b9a-ab5a-9331138e1f6e","I750145","Project","Exxonmobil","Developer","2026-01-01","2026-04-22","125","Puja K","Accepted","","false","","ABAP"
"ccb207b2-87a2-44eb-a4f0-4ae07337da12","I750145","Project","SkillSphere","Developer","2025-09-01","2026-04-30","50","Puja K","Accepted","","false","","Analytics Cloud"
"615d9f88-d398-4936-98c6-640b9d72e457","I770164","Project","SAP BTP Migration","Developer","2026-01-15","2026-09-30","100","V B Adhithya","Accepted","","false","","AI/ML"
"d40ab012-fe76-4e0a-a4d0-d63e31d7428d","I770165","Project","SuccessFactors Rollout","Developer","2025-11-01","2027-03-31","100","Puja K","Accepted","","false","","SuccessFactors"
"3cd1ef5d-5e52-4d4e-b05b-7799605ee6ec","I770167","Project","SAP Analytics Cloud","Developer","2026-02-01","2026-11-30","100","Arumugam Surendren","Accepted","","false","","SuccessFactors"
"2b20aabc-5de2-48ec-a8b8-d3cf918bf7af","I773926","Project","Cloud Integration Hub","Developer","2026-01-15","2026-09-30","100","Kumar Rakesh","Accepted","","false","","Fiori"
"7bcec331-72c1-4c49-aca9-ab090df26782","I774156","Project","Synapxe IHiS Phase 2","Developer","2025-11-01","2027-03-31","100","Garg Abhishek","Accepted","","false","","Integration"
"d3c4bd6e-4ebd-4f87-9b88-c1e80509126e","I780001","Project","Schneider DSPC","Developer","2025-10-01","2026-08-31","100","Ramanathan Srinivasan","Accepted","","false","","SuccessFactors"
"c28dcecb-89ec-4e49-977d-a787bc4a8ccc","I780002","Project","Exxon Mobil Upgrade","Developer","2026-02-01","2026-11-30","100","Kumar V Chendil","Accepted","","false","","SuccessFactors"
"3d5c968d-ce6a-4ec7-bce7-ab9d8ab5c5a9","I780003","Project","SAP S4HANA Implementation","Developer","2026-01-01","2026-12-31","100","Jain Pawan","Accepted","","false","","Ariba"
"1e4feec2-ca5a-41e2-8280-9dacfbd9dc5e","I780004","Project","SAP BTP Migration","Developer","2026-01-15","2026-09-30","100","V B Adhithya","Accepted","","false","","SuccessFactors"
"dacf2c1d-a73e-458e-b5a3-616d1fcc73cb","I780005","Project","SuccessFactors Rollout","Developer","2025-11-01","2027-03-31","100","Puja K","Accepted","","false","","AI/ML"
"1a24e94e-32cb-4720-825f-8614234124b2","I780006","Project","Ariba Procurement Upgrade","Developer","2025-10-01","2026-08-31","100","Fazal Ilahi","Accepted","","false","","SuccessFactors"
"8f23ba70-0065-4398-9298-44239d7f9b8d","I780007","Project","SAP Analytics Cloud","Developer","2026-02-01","2026-11-30","100","Arumugam Surendren","Accepted","","false","","HANA"
"a16545be-003a-4181-a397-72115e68429e","I780008","Project","Digital Transformation","Developer","2026-01-01","2026-12-31","100","Singh Agya Pal","Accepted","","false","","SAPUI5"
"a6816448-d2b9-48d5-8cb1-864698e7ef81","I780009","Project","Cloud Integration Hub","Developer","2026-01-15","2026-09-30","100","Kumar Rakesh","Accepted","","false","","ABAP"
"244d1fbe-4a2f-406d-adc8-737925852f70","I780010","Project","Synapxe IHiS Phase 2","Developer","2025-11-01","2027-03-31","100","Garg Abhishek","Accepted","","false","","BTP"
"623ad742-6851-425a-8624-0bef03706953","I780011","Project","Schneider DSPC","Developer","2025-10-01","2026-08-31","100","Ramanathan Srinivasan","Accepted","","false","","AI/ML"
"4c226305-a5c2-4714-a098-5fa065b2ac5c","I780012","Project","Exxon Mobil Upgrade","Developer","2026-02-01","2026-11-30","100","Kumar V Chendil","Accepted","","false","","Data Science"
"c32086fc-0c20-41e3-bc6b-9401c75b4f97","I780013","Project","SAP S4HANA Implementation","Developer","2026-01-01","2026-12-31","100","Jain Pawan","Accepted","","false","","Ariba"
"8fd7000a-538e-4584-9cd3-70b6b11bef3f","I780014","Project","SAP BTP Migration","Developer","2026-01-15","2026-09-30","100","V B Adhithya","Accepted","","false","","ABAP"
"909393ec-1f23-45da-9516-beac3d62cad3","I780015","Project","SuccessFactors Rollout","Developer","2025-11-01","2027-03-31","100","Puja K","Accepted","","false","","Fiori"
"711e10a2-33d1-4952-a312-271b1dcc1189","I780016","Project","Ariba Procurement Upgrade","Developer","2025-10-01","2026-08-31","100","Fazal Ilahi","Accepted","","false","","Analytics Cloud"
"10601cb2-3c31-4e0a-a965-db2aaec9c5b0","I780017","Project","SAP Analytics Cloud","Developer","2026-02-01","2026-11-30","100","Arumugam Surendren","Accepted","","false","","S/4HANA"
"7df5cfdd-5ba7-4440-844c-195284c5ee10","I780018","Project","Digital Transformation","Developer","2026-01-01","2026-12-31","100","Singh Agya Pal","Accepted","","false","","Ariba"
"e51cbeb7-c578-450a-bc4e-3c5f37cfe6e4","I780019","Project","Cloud Integration Hub","Developer","2026-01-15","2026-09-30","100","Kumar Rakesh","Accepted","","false","","Ariba"
"b45600a9-4ba1-443d-90f4-d2c97eb7c063","I780020","Project","Synapxe IHiS Phase 2","Developer","2025-11-01","2027-03-31","100","Garg Abhishek","Accepted","","false","","HANA"
"d2ca2d73-bb72-44ae-b8db-c13dcb247985","I780021","Project","Schneider DSPC","Developer","2025-10-01","2026-08-31","100","Ramanathan Srinivasan","Accepted","","false","","HANA"
"81f3a2a6-bfb1-4b48-bb94-f965a8d833d0","I780022","Project","Exxon Mobil Upgrade","Developer","2026-02-01","2026-11-30","100","Kumar V Chendil","Accepted","","false","","Integration"
"bd977d4d-d87a-4547-8471-dc4c2a077b61","I780023","Project","SAP S4HANA Implementation","Developer","2026-01-01","2026-12-31","100","Jain Pawan","Accepted","","false","","AI/ML"
"459c22e4-5cf3-4097-925a-76656c06b0c1","I780024","Project","SAP BTP Migration","Developer","2026-01-15","2026-09-30","100","V B Adhithya","Accepted","","false","","Analytics Cloud"
"5a7578e1-645a-4d1d-87ef-8794ab5a20bd","I780025","Project","SuccessFactors Rollout","Developer","2025-11-01","2027-03-31","100","Puja K","Accepted","","false","","Fiori"
