skillId,skillName,category,employeeId,proficiencyLevel,yearsExperience,certificationStatus
SKILL001,SAPUI5,Frontend,I770144,Advanced,6,Certified
SKILL002,SAPUI5,Frontend,I770145,Intermediate,4,In Progress
SKILL003,SAP HANA,Database,I770146,Advanced,8,Certified
SKILL004,SAP HANA,Database,I770144,Intermediate,3,Not Certified
SKILL005,Data Warehouse,Analytics,I770145,Expert,10,Certified
SKILL006,SAP Analytics Cloud (SAC),Analytics,I770148,Advanced,7,Certified
SKILL007,TypeScript,Frontend,I770145,Intermediate,4,Certified
SKILL008,SAP BTP (Business Technology Platform),Cloud,I770148,Advanced,6,Certified
SKILL009,Selenium,Testing,I770149,Intermediate,5,Certified
SKILL010,Java,Backend,I770144,Expert,5,In Progress
SKILL011,Python,Backend,I770144,Advanced,3,None
SKILL012,Java,Backend,I770151,Proficient,1,Certified
SKILL013,ABAP,Backend,I770151,Beginner,0,None
SKILL014,SAP CAP,FullStack,I770151,Intermediate,1,In Progress
SKILL015,SAPUI5,Frontend,I770151,Intermediate,1,In Progress
SKILL016,Java,Backend,I770152,Intermediate,2,In Progress
SKILL017,SAP Ariba,Procurement,I770154,Advanced,5,Certified
SKILL018,Ariba Sourcing,Procurement,I770154,Proficient,4,In Progress
SKILL019,JavaScript,Frontend,I770154,Intermediate,3,Not Certified
SKILL020,SQL,Database,I770154,Advanced,5,Certified
SKILL021,Ariba Analytics,Procurement,I770155,Proficient,4,Certified
SKILL022,Power BI,Analytics,I770155,Expert,6,Certified
SKILL023,SAP Analytics Cloud (SAC),Analytics,I770155,Advanced,3,In Progress
SKILL024,Ariba Contracts,Procurement,I770155,Intermediate,2,Not Certified
SKILL025,Ariba Integration,Procurement,I770156,Expert,6,Certified
SKILL026,SAP PI/PO (Process Integration),Integration,I770156,Advanced,5,Certified
SKILL027,REST API,Integration,I770156,Proficient,4,Certified
SKILL028,Java,Backend,I770156,Advanced,6,Certified
SKILL029,Selenium,Testing,I770157,Advanced,4,Certified
SKILL030,SAP Test Automation,Testing,I770157,Proficient,3,In Progress
SKILL031,ABAP,Backend,I770158,Expert,8,Certified
SKILL032,SAP S/4HANA,FullStack,I770158,Advanced,7,Certified
SKILL033,Cloud Foundry,Cloud,I770158,Proficient,5,Certified
SKILL034,CI/CD,DevOps,I770158,Advanced,6,Certified
SKILL035,Cloud Foundry,Cloud,I770159,Expert,7,Certified
SKILL036,Node.js,Backend,I770159,Advanced,6,Certified
SKILL037,React,Frontend,I770159,Proficient,4,Certified
SKILL038,Docker,Cloud,I770159,Advanced,5,Certified
SKILL039,SAP CAP,FullStack,I770160,Expert,6,Certified
SKILL040,SAPUI5,Frontend,I770160,Advanced,5,Certified
SKILL041,OData,Integration,I770160,Proficient,4,Certified
SKILL042,SAP HANA Cloud,Database,I770160,Advanced,5,Certified
SKILL043,SAP Integration Suite,Integration,I770161,Expert,8,Certified
SKILL044,API Management,Integration,I770161,Advanced,6,Certified
SKILL045,SAP CPI (Cloud Platform Integration),Integration,I770161,Proficient,5,Certified
SKILL046,Microservices Architecture,FullStack,I770161,Advanced,6,Certified
SKILL047,SAP Fiori,Frontend,I770162,Advanced,5,Certified
SKILL048,SAPUI5,Frontend,I770162,Expert,6,Certified
SKILL049,JavaScript,Frontend,I770162,Proficient,4,Certified
SKILL050,Kubernetes,Cloud,I770163,Advanced,4,Certified
SKILL051,Jenkins,DevOps,I770163,Proficient,3,Certified
SKILL052,Git,DevOps,I770163,Advanced,5,Certified
SKILL053,Python,Backend,I770164,Expert,7,Certified
SKILL054,SQL,Database,I770164,Advanced,6,Certified
SKILL055,Tableau,Analytics,I770164,Proficient,4,Certified
SKILL056,Machine Learning,Analytics,I770164,Advanced,5,Certified
SKILL057,SAP BusinessObjects,Analytics,I770165,Expert,8,Certified
SKILL058,SAP BW/4HANA,Analytics,I770165,Advanced,7,Certified
SKILL059,Power BI,Analytics,I770165,Proficient,5,Certified
SKILL060,Python,Backend,I770165,Advanced,6,Certified
SKILL061,SAP Analytics Cloud (SAC),Analytics,I770166,Expert,6,Certified
SKILL062,Data Warehouse,Analytics,I770166,Advanced,5,Certified
SKILL063,SAP Fiori,Frontend,I770166,Proficient,4,Certified
SKILL064,SAP Analytics Cloud (SAC),Analytics,I770167,Expert,5,Certified
SKILL065,Predictive Analytics,Analytics,I770167,Advanced,4,Certified
SKILL066,SAP Datasphere,Analytics,I770167,Proficient,3,Certified
SKILL067,Data Warehouse,Analytics,I770168,Expert,7,Certified
SKILL068,SAP BW/4HANA,Analytics,I770168,Advanced,6,Certified
SKILL069,SQL,Database,I770168,Proficient,5,Certified
SKILL070,SAP HANA,Database,I770168,Advanced,5,Certified
SKILL071,Python,Backend,I770152,Intermediate,2,In Progress
SKILL072,SAPUI5,Frontend,I770152,Beginner,1,In Progress
SKL_1761927259069_wwhw60whb,QUnit,Testing,I770144,Beginner,1,In Progress
SKL_1761927472907_6bkbe87gr,Spring Boot,Backend,I770144,Beginner,2,Certified
SKL_1761928865104_crfgpjl40,ABAP OO,Backend,I770144,Advanced,3,In Progress
SKL_1762162035273_m57tremvq,Fiori Elements,Frontend,I770144,Proficient,1,Certified
SKILL073,SAP BTP,Cloud,I750145,Beginner,0,Not Certified
SKILL074,AI,Technology,I750145,Beginner,0,Not Certified
SKILL075,AI,Technology,I346659,Intermediate,0,Not Certified
SKILL076,SAP BTP,Cloud,I346659,Intermediate,0,Not Certified
SKILL077,AI,Technology,I769086,Beginner,0,Not Certified
SKILL078,ABAP,Backend,I763161,Intermediate,8,Not Certified
SKILL079,Fiori,Frontend,I763161,Intermediate,8,Not Certified
SKILL080,Data Science,Analytics,I755736,Intermediate,2.5,Not Certified
SKILL081,ABAP,Backend,I749085,Beginner,0.5,Certified
SKILL082,SAPUI5,Frontend,I749085,Beginner,0.5,Certified
SKILL083,ABAP,Backend,I755719,Proficient,16,Certified
SKILL084,ABAP,Backend,I763266,Proficient,4,Not Certified
SKILL085,ABAP,Backend,I770144,Beginner,0.17,Not Certified
SKILL086,SAPUI5,Frontend,I770144,Beginner,0.17,Not Certified
SKILL087,CAP,Backend,I770144,Beginner,0.17,Not Certified
SKILL088,SAP BTP,Cloud,I770144,Beginner,0.17,Not Certified
SKL093,SAP BTP (Business Technology Platform),Cloud,I753890,Intermediate,0,None
SKL095,SAP Fiori,Frontend,I770144,Beginner,3,In Progress
SKL096,SAP HANA,Database,I770144,Proficient,2,Certified
SKL097,REST API,Integration,I770144,Intermediate,3,In Progress
SKL098,TypeScript,Frontend,I770164,Intermediate,5,None
SKL099,Agile/Scrum,Methodology,I770165,Beginner,6,Certified
SKL100,TypeScript,Frontend,I770165,Proficient,1,In Progress
SKL101,SAP Fiori,Frontend,I770165,Beginner,8,In Progress
SKL102,SAP S/4HANA,ERP,I770166,Intermediate,5,Certified
SKL103,SAP BTP,Cloud,I770166,Beginner,5,Certified
SKL104,TypeScript,Frontend,I770167,Beginner,7,In Progress
SKL105,SAP Fiori,Frontend,I770167,Beginner,2,Certified
SKL106,SAP ABAP,ERP,I770167,Intermediate,6,None
SKL107,JIRA,Methodology,I770168,Proficient,1,None
SKL108,JIRA,Methodology,I750145,Intermediate,3,None
SKL109,SAP SuccessFactors,HCM,I750145,Advanced,1,None
SKL110,SAP ABAP,ERP,I750145,Beginner,7,None
SKL111,SQL,Database,I346659,Expert,1,None
SKL112,SAP ABAP,ERP,I346659,Beginner,6,None
SKL113,OData,Integration,I769086,Advanced,1,None
SKL114,Java,Backend,I769086,Beginner,4,Certified
SKL115,TypeScript,Frontend,I769086,Proficient,4,None
SKL116,Agile/Scrum,Methodology,I763161,Expert,8,None
SKL117,SAP FI,Finance,I763161,Advanced,2,None
SKL118,SAP ABAP,ERP,I763161,Proficient,3,Certified
SKL119,SAP Fiori,Frontend,I755736,Intermediate,5,In Progress
SKL120,SAP FI,Finance,I749085,Intermediate,5,Certified
SKL121,SAP MM,ERP,I749085,Advanced,1,None
SKL122,SAP SD,ERP,I749085,Expert,1,None
SKL123,SAP BTP,Cloud,I753890,Intermediate,5,None
SKL124,Machine Learning,AI,I755719,Beginner,1,None
SKL125,SAP FI,Finance,I763266,Expert,1,None
SKL126,SAP Security,Security,I773926,Expert,3,In Progress
SKL127,SAP Ariba,Procurement,I773926,Advanced,6,None
SKL128,OData,Integration,I773926,Intermediate,2,None
SKL129,SAP Work Zone,Portal,I774156,Expert,7,None
SKL130,SAP S/4HANA,ERP,I780001,Proficient,6,None
SKL131,SAP Analytics Cloud,Analytics,I780001,Proficient,4,Certified
SKL132,Git,DevOps,I780001,Proficient,3,Certified
SKL133,Git,DevOps,I780002,Expert,2,None
SKL134,SAP Work Zone,Portal,I780002,Beginner,2,Certified
SKL135,Python,Backend,I780003,Expert,8,Certified
SKL136,Agile/Scrum,Methodology,I780003,Beginner,3,In Progress
SKL137,SAP HANA,Database,I780003,Advanced,8,Certified
SKL138,SAP Analytics Cloud,Analytics,I780004,Expert,2,Certified
SKL139,JavaScript,Frontend,I780004,Advanced,2,None
SKL140,REST API,Integration,I780004,Intermediate,7,In Progress
SKL141,Python,Backend,I780005,Expert,8,Certified
SKL142,SAP Work Zone,Portal,I780006,Expert,2,In Progress
SKL143,Java,Backend,I780006,Intermediate,6,In Progress
SKL144,SAP Security,Security,I780006,Advanced,1,Certified
SKL145,REST API,Integration,I780007,Intermediate,5,Certified
SKL146,SAP SD,ERP,I780007,Proficient,2,Certified
SKL147,SAP BTP,Cloud,I780008,Intermediate,3,None
SKL148,SAP Analytics Cloud,Analytics,I780009,Expert,4,None
SKL149,SAP FI,Finance,I780010,Expert,3,Certified
SKL150,Cloud Computing,Cloud,I780010,Intermediate,2,Certified
SKL151,JIRA,Methodology,I780011,Expert,1,None
SKL152,TypeScript,Frontend,I780011,Expert,3,Certified
SKL153,SAP Security,Security,I780012,Proficient,1,Certified
SKL154,SAP ABAP,ERP,I780012,Proficient,6,In Progress
SKL155,SAP Analytics Cloud,Analytics,I780012,Expert,3,Certified
SKL156,SAP ABAP,ERP,I780013,Beginner,6,In Progress
SKL157,JavaScript,Frontend,I780013,Intermediate,3,None
SKL158,Cloud Computing,Cloud,I780013,Advanced,6,In Progress
SKL159,Cloud Computing,Cloud,I780014,Beginner,2,Certified
SKL160,Machine Learning,AI,I780015,Intermediate,1,In Progress
SKL161,SAP Fiori,Frontend,I780016,Advanced,1,Certified
