skillId,skillName,category,employeeId,proficiencyLevel,yearsExperience,certificationStatus
SKILL001,SAPUI5,Frontend,EMP001,Advanced,6,Certified
SKILL002,SAPUI5,Frontend,EMP002,Intermediate,4,In Progress
SKILL003,SAP HANA,Database,EMP003,Advanced,8,Certified
SKILL004,SAP HANA,Database,EMP001,Intermediate,3,Not Certified
SKILL005,Data Warehouse,Analytics,EMP002,Expert,10,Certified
SKILL006,SAP Analytics Cloud (SAC),Analytics,EMP005,Advanced,7,Certified
SKILL007,TypeScript,Frontend,EMP002,Intermediate,4,Certified
SKILL008,SAP BTP (Business Technology Platform),Cloud,EMP005,Advanced,6,Certified
SKILL009,Selenium,Testing,EMP006,Intermediate,5,Certified
SKILL010,Java,Backend,EMP001,Expert,5,In Progress
SKILL011,Python,Backend,EMP001,Advanced,3,None
SKILL012,Java,Backend,EMP008,Proficient,1,Certified
SKILL013,ABAP,Backend,EMP008,Beginner,0,None
SKILL014,SAP CAP,FullStack,EMP008,Intermediate,1,In Progress
SKILL015,SAPUI5,Frontend,EMP008,Intermediate,1,In Progress
SKILL016,Java,Backend,EMP009,Intermediate,2,In Progress
SKILL017,SAP Ariba,Procurement,EMP011,Advanced,5,Certified
SKILL018,Ariba Sourcing,Procurement,EMP011,Proficient,4,In Progress
SKILL019,JavaScript,Frontend,EMP011,Intermediate,3,Not Certified
SKILL020,SQL,Database,EMP011,Advanced,5,Certified
SKILL021,Ariba Analytics,Procurement,EMP012,Proficient,4,Certified
SKILL022,Power BI,Analytics,EMP012,Expert,6,Certified
SKILL023,SAP Analytics Cloud (SAC),Analytics,EMP012,Advanced,3,In Progress
SKILL024,Ariba Contracts,Procurement,EMP012,Intermediate,2,Not Certified
SKILL025,Ariba Integration,Procurement,EMP013,Expert,6,Certified
SKILL026,SAP PI/PO (Process Integration),Integration,EMP013,Advanced,5,Certified
SKILL027,REST API,Integration,EMP013,Proficient,4,Certified
SKILL028,Java,Backend,EMP013,Advanced,6,Certified
SKILL029,Selenium,Testing,EMP014,Advanced,4,Certified
SKILL030,SAP Test Automation,Testing,EMP014,Proficient,3,In Progress
SKILL031,ABAP,Backend,EMP015,Expert,8,Certified
SKILL032,SAP S/4HANA,FullStack,EMP015,Advanced,7,Certified
SKILL033,Cloud Foundry,Cloud,EMP015,Proficient,5,Certified
SKILL034,CI/CD,DevOps,EMP015,Advanced,6,Certified
SKILL035,Cloud Foundry,Cloud,EMP016,Expert,7,Certified
SKILL036,Node.js,Backend,EMP016,Advanced,6,Certified
SKILL037,React,Frontend,EMP016,Proficient,4,Certified
SKILL038,Docker,Cloud,EMP016,Advanced,5,Certified
SKILL039,SAP CAP,FullStack,EMP017,Expert,6,Certified
SKILL040,SAPUI5,Frontend,EMP017,Advanced,5,Certified
SKILL041,OData,Integration,EMP017,Proficient,4,Certified
SKILL042,SAP HANA Cloud,Database,EMP017,Advanced,5,Certified
SKILL043,SAP Integration Suite,Integration,EMP018,Expert,8,Certified
SKILL044,API Management,Integration,EMP018,Advanced,6,Certified
SKILL045,SAP CPI (Cloud Platform Integration),Integration,EMP018,Proficient,5,Certified
SKILL046,Microservices Architecture,FullStack,EMP018,Advanced,6,Certified
SKILL047,SAP Fiori,Frontend,EMP019,Advanced,5,Certified
SKILL048,SAPUI5,Frontend,EMP019,Expert,6,Certified
SKILL049,JavaScript,Frontend,EMP019,Proficient,4,Certified
SKILL050,Kubernetes,Cloud,EMP020,Advanced,4,Certified
SKILL051,Jenkins,DevOps,EMP020,Proficient,3,Certified
SKILL052,Git,DevOps,EMP020,Advanced,5,Certified
SKILL053,Python,Backend,EMP021,Expert,7,Certified
SKILL054,SQL,Database,EMP021,Advanced,6,Certified
SKILL055,Tableau,Analytics,EMP021,Proficient,4,Certified
SKILL056,Machine Learning,Analytics,EMP021,Advanced,5,Certified
SKILL057,SAP BusinessObjects,Analytics,EMP022,Expert,8,Certified
SKILL058,SAP BW/4HANA,Analytics,EMP022,Advanced,7,Certified
SKILL059,Power BI,Analytics,EMP022,Proficient,5,Certified
SKILL060,Python,Backend,EMP022,Advanced,6,Certified
SKILL061,SAP Analytics Cloud (SAC),Analytics,EMP023,Expert,6,Certified
SKILL062,Data Warehouse,Analytics,EMP023,Advanced,5,Certified
SKILL063,SAP Fiori,Frontend,EMP023,Proficient,4,Certified
SKILL064,SAP Analytics Cloud (SAC),Analytics,EMP024,Expert,5,Certified
SKILL065,Predictive Analytics,Analytics,EMP024,Advanced,4,Certified
SKILL066,SAP Datasphere,Analytics,EMP024,Proficient,3,Certified
SKILL067,Data Warehouse,Analytics,EMP025,Expert,7,Certified
SKILL068,SAP BW/4HANA,Analytics,EMP025,Advanced,6,Certified
SKILL069,SQL,Database,EMP025,Proficient,5,Certified
SKILL070,SAP HANA,Database,EMP025,Advanced,5,Certified
SKILL071,Python,Backend,EMP009,Intermediate,2,In Progress
SKILL072,SAPUI5,Frontend,EMP009,Beginner,1,In Progress
SKL_1761927259069_wwhw60whb,QUnit,Testing,EMP001,Beginner,1,In Progress
SKL_1761927472907_6bkbe87gr,Spring Boot,Backend,EMP001,Beginner,2,Certified
SKL_1761928865104_crfgpjl40,ABAP OO,Backend,EMP001,Advanced,3,In Progress
